observation_date,GDPPOT
1984-01-01,8170.8285749999995
1984-04-01,8242.4747019999995
1984-07-01,8315.7990559999998
1984-10-01,8390.3573469999992
1985-01-01,8465.2930209999995
1985-04-01,8540.4193799999994
1985-07-01,8615.3390040000013
1985-10-01,8689.6814319999994
1986-01-01,8763.1692149999999
1986-04-01,8835.9033680000011
1986-07-01,8908.2121719999996
1986-10-01,8980.8328550000006
1987-01-01,9053.3348110000006
1987-04-01,9125.6207529999992
1987-07-01,9197.7702250000002
1987-10-01,9270.5014620000002
1988-01-01,9343.1415379999999
1988-04-01,9416.3131059999996
1988-07-01,9489.6920439999994
1988-10-01,9563.5805160000000
1989-01-01,9637.6550549999993
1989-04-01,9711.8624880000007
1989-07-01,9786.0599849999999
1989-10-01,9860.0114119999998
1990-01-01,9933.1606680000004
1990-04-01,10005.1910000000007
1990-07-01,10075.3519300000007
1990-10-01,10143.6070799999998
1991-01-01,10210.3137999999999
1991-04-01,10275.3843300000008
1991-07-01,10339.4016599999995
1991-10-01,10403.4430699999994
1992-01-01,10467.5322400000005
1992-04-01,10532.4017899999999
1992-07-01,10598.6170600000005
1992-10-01,10665.7835599999999
1993-01-01,10733.9601800000000
1993-04-01,10804.0164800000002
1993-07-01,10875.1620199999998
1993-10-01,10947.4250200000006
1994-01-01,11020.7294099999999
1994-04-01,11094.9067899999991
1994-07-01,11170.7464600000003
1994-10-01,11247.9084100000000
1995-01-01,11325.9380600000004
1995-04-01,11405.4267799999998
1995-07-01,11485.8669900000004
1995-10-01,11568.4618900000005
1996-01-01,11652.8613700000005
1996-04-01,11742.5618799999993
1996-07-01,11838.7608899999996
1996-10-01,11941.2555300000004
1997-01-01,12049.8129100000006
1997-04-01,12163.5842900000007
1997-07-01,12282.9370400000007
1997-10-01,12406.5785300000007
1998-01-01,12533.9907600000006
1998-04-01,12665.3929300000000
1998-07-01,12799.2137100000000
1998-10-01,12935.6345799999999
1999-01-01,13074.7504800000006
1999-04-01,13215.6844400000009
1999-07-01,13358.4611199999999
1999-10-01,13503.5434900000000
2000-01-01,13649.9917600000008
2000-04-01,13792.7361400000009
2000-07-01,13929.5020000000004
2000-10-01,14059.3565099999996
2001-01-01,14182.3870000000006
2001-04-01,14298.4975099999992
2001-07-01,14407.7051800000008
2001-10-01,14510.9350599999998
2002-01-01,14608.7368499999993
2002-04-01,14702.8966999999993
2002-07-01,14795.1382699999995
2002-10-01,14886.1762400000007
2003-01-01,14977.1989500000000
2003-04-01,15069.0264999999999
2003-07-01,15161.0130399999998
2003-10-01,15254.3344199999992
2004-01-01,15349.3685999999998
2004-04-01,15445.7594900000004
2004-07-01,15544.0956000000006
2004-10-01,15643.3994399999992
2005-01-01,15740.3620800000008
2005-04-01,15833.9863499999992
2005-07-01,15925.4839699999993
2005-10-01,16014.1682199999996
2006-01-01,16099.6102100000007
2006-04-01,16182.6442000000006
2006-07-01,16261.6159499999994
2006-10-01,16336.3831800000007
2007-01-01,16413.0841599999985
2007-04-01,16492.8131300000023
2007-07-01,16575.3612199999989
2007-10-01,16658.2616000000016
2008-01-01,16741.8355100000008
2008-04-01,16824.0084600000009
2008-07-01,16903.7513199999994
2008-10-01,16979.7273800000003
2009-01-01,17050.2336199999991
2009-04-01,17116.4777199999990
2009-07-01,17178.9702699999980
2009-10-01,17239.5313199999982
2010-01-01,17300.2921500000011
2010-04-01,17362.1721800000014
2010-07-01,17426.5058699999972
2010-10-01,17492.5371899999991
2011-01-01,17560.4955000000009
2011-04-01,17630.4570800000001
2011-07-01,17702.5718600000000
2011-10-01,17776.2883900000015
2012-01-01,17851.5485900000022
2012-04-01,17928.8843000000015
2012-07-01,18007.7846900000004
2012-10-01,18088.0280300000013
2013-01-01,18170.1777599999987
2013-04-01,18253.5275599999986
2013-07-01,18337.5989999999983
2013-10-01,18422.9132900000004
2014-01-01,18509.4429999999993
2014-04-01,18597.0868399999999
2014-07-01,18686.7863099999995
2014-10-01,18777.7265599999992
2015-01-01,18869.7746699999989
2015-04-01,18963.0162600000003
2015-07-01,19056.8383299999987
2015-10-01,19150.9691999999995
2016-01-01,19245.2220999999990
2016-04-01,19339.7440500000012
2016-07-01,19434.0623400000004
2016-10-01,19528.0580300000001
2017-01-01,19622.1718399999991
2017-04-01,19717.0838499999991
2017-07-01,19814.5016099999993
2017-10-01,19914.2676099999990
2018-01-01,20016.5431699999972
2018-04-01,20121.6713799999998
2018-07-01,20228.1296799999982
2018-10-01,20335.0987300000015
2019-01-01,20443.0330399999984
2019-04-01,20551.1149299999997
2019-07-01,20658.9966099999983
2019-10-01,20763.9792000000016
2020-01-01,20867.2769000000008
2020-04-01,20970.4219499999999
2020-07-01,21071.7626300000011
2020-10-01,21174.3303400000004
2021-01-01,21277.7031500000012
2021-04-01,21382.8983499999995
2021-07-01,21493.0191500000001
2021-10-01,21606.0807600000007
2022-01-01,21722.0247999999992
2022-04-01,21840.5663600000007
2022-07-01,21961.5350800000015
2022-10-01,22084.9253600000011
2023-01-01,22208.2425399999993
2023-04-01,22333.1123899999984
2023-07-01,22459.7406800000026
2023-10-01,22588.1845900000008
2024-01-01,22718.1300000000010
2024-04-01,22849.8699999999990
